Rank,Name,Username
1,Jennifer Lopez,jlo
2,Vin Diesel,vindiesel
3,Jude Bellingham,judebellingham
4,Burak Özdemir,cznburak
5,Emily Ratajkowski,emrata
6,Conor McGregor Official,thenotoriousmma
7,Enzo Zelocchi,enzozelocchi
8,Hannah Stocking,hannahstocking
9,VLADIMIR1 & mr ANATOLY,vladimirshmondenko
10,hakki akdeniz,hakkiakdenizz
11,Otabek Umarov,otabek_muhammadalievich
12,Mark Pugachev,pugachevmark
13,Тамаев Асхаб,tamaaev
14,Snejana Onopka,snejanaonopka15
15,Neslihan Atagül Doğulu,neslihanatagul
16,Джейран Касымова,djeiran_han
17,ARAIK GALSTYAN,araikgalstyanmoscowschool
18,Fahriye Evcen Özçivit,evcenf
19,Adam Weitsman,adamweitsman
20,Leonardo DiCaprio,leonardodicaprio
21,Rakhim,rahimabramov
22,Kashika Kapoor,kashikakapoor09
23,irina shayk,irinashayk
24,Larissa Manoela,larissamanoela
25,Dmitriy Shelengovskiy,shelengovskiy
26,Rosie HW,rosiehw
27,Tata Werneck,tatawerneck
28,Elton ILIRJANI,eilirjani
29,Jas Mathur,limitless
30,Jean-Claude Van Damme,jcvd
31,Брайн Мапс (Макс Тарасенко),brianmaps
32,Christopher McGinnis,chrismcg
33,UFC,ufc
34,❥ Khalid Rafiq 👑💫,rafiqkhalid
35,BMW,bmw
36,Khvicha Kvaratskhelia,kvara7
37,Dior Official,dior
38,Islam_Makhachev,islam_makhachev
39,Nazar Babenko,nazar_8888_
40,Liubava Rose ❤️🌹,love__rose92
41,Ekaterina Gorodnicheva,katyagorod
42,Nurtaza Nurbek,justking31
43,Abduroziq Official,abdu_rozik
44,КЛАВА КОКА | Black Star,klavacoca
45,ANDREY BATT,andreybatt
46,Julia Roberts,juliaroberts
47,Елена Сажина,helen_yes1
48,Иван Ургант,urgantcom
49,Mercedes-Benz,mercedesbenz
50,Cameron Diaz,camerondiaz
